Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
17,opp,625,467610.276,44,false,10,pdisp,32,0,78,697,542,1800,1239,0,496288,471810
15,opp,625,466413.292,40,false,11,pdisp,32,0,78,251,0,1800,251,0,510934,468195
17,opp,625,461040.141,43,false,12,pdisp,32,0,78,202,0,1800,202,0,500278,461823
16,opp,625,468091.441,46,false,13,pdisp,32,0,78,252,0,1800,252,0,516457,468480
17,opp,625,459097.84,49,false,14,pdisp,32,0,78,232,0,1800,232,0,497986,459301
16,opp,625,479672.397,45,false,15,pdisp,32,0,78,245,0,1800,245,0,537294,483950
18,opp,625,461967.277,47,false,16,pdisp,32,0,78,208,0,1800,208,0,540921,462365
15,opp,625,462126.537,44,false,17,pdisp,32,1,78,221,0,1800,221,0,552434,462745
15,opp,625,454556.375,43,false,18,pdisp,32,0,78,176,1,1800,177,0,509356,455692
16,opp,625,458774.946,42,false,19,pdisp,32,0,78,216,0,1800,216,0,516517,461881
15,opp,625,462154.445,42,false,1,pdisp,32,0,78,197,0,1800,197,0,511090,464274
17,opp,625,464547.884,50,false,20,pdisp,32,0,78,401,0,1800,401,0,550654,465070
17,opp,625,474267.15,41,false,2,pdisp,32,0,78,126,0,1800,126,0,513806,475106
14,opp,625,451740.158,38,false,3,pdisp,32,0,78,135,0,1800,135,0,518767,451907
18,opp,625,460520.424,47,false,4,pdisp,32,0,78,130,0,1800,130,0,499125,460877
13,opp,625,468298.942,37,false,5,pdisp,32,0,78,154,0,1800,154,0,518879,469190
16,opp,625,490305.188,49,false,6,pdisp,32,0,78,142,1,1800,143,0,572353,491611
15,opp,625,453366.406,44,false,7,pdisp,32,0,78,175,0,1800,175,0,493563,454550
17,opp,625,460970.188,41,false,8,pdisp,32,0,78,145,1,1800,146,0,490353,462113
17,opp,625,487836.913,43,false,9,pdisp,32,0,78,164,1,1800,165,0,513913,488971
