Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
18,opp,625,467610.276,51,false,10,relax,32,0,78,692,1000,1800,1692,0,613611,471810
17,opp,625,466413.292,53,false,11,relax,32,2,78,464,1000,1800,1464,0,597886,468195
21,opp,625,461040.141,55,false,12,relax,32,0,78,216,1000,1800,1216,0,603001,461823
18,opp,625,468091.441,50,false,13,relax,32,0,78,426,1000,1800,1426,0,559199,468480
18,opp,625,459097.84,54,false,14,relax,32,0,78,226,1000,1800,1226,0,581438,459301
17,opp,625,479672.397,48,false,15,relax,32,0,78,193,1000,1800,1193,0,595672,483950
19,opp,625,461967.277,53,false,16,relax,32,0,78,180,1000,1800,1180,0,552993,462365
19,opp,625,462126.537,54,false,17,relax,32,0,78,437,1000,1800,1437,0,565915,462745
18,opp,625,454556.375,53,false,18,relax,32,0,78,154,1000,1800,1154,0,761565,455692
17,opp,625,458774.946,49,false,19,relax,32,0,78,386,1000,1800,1386,0,605008,461881
16,opp,625,462154.445,45,false,1,relax,32,0,78,152,1000,1800,1152,0,626646,464274
17,opp,625,464547.884,47,false,20,relax,32,0,78,355,1000,1800,1355,0,634481,465070
17,opp,625,474267.15,51,false,2,relax,32,0,78,173,1000,1800,1173,0,749180,475106
15,opp,625,451740.158,46,false,3,relax,32,1,78,385,1000,1800,1385,0,699690,451907
16,opp,625,460520.424,49,false,4,relax,32,1,78,162,1000,1800,1162,0,619881,460877
17,opp,625,468298.942,50,false,5,relax,32,0,78,357,1000,1800,1357,0,629064,469190
18,opp,625,490305.188,49,false,6,relax,32,0,78,159,1000,1800,1159,0,616992,491611
16,opp,625,453366.406,46,false,7,relax,32,0,78,379,1000,1800,1379,0,620188,454550
17,opp,625,460970.188,49,false,8,relax,32,0,78,160,1000,1800,1160,0,556234,462113
15,opp,625,487836.913,43,false,9,relax,32,0,78,348,1000,1800,1348,0,580954,488971
