instance_id,instance_number,y_method,move_config,B,S,P,construction_time,ls_time,total_time,post_repair_obj,post_ls_obj,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,rel_ls_improvement,instance_num,p_value,best_bound,optimality_gap
inst_7_first_instance_set_large_3000_600_60,7,multi_p_median_benders,simple_interchange,3000,600,60,327.64299988746643,13.605999946594238,341.24899983406067,1540944.0,1505096.0,3,35848.0,2,2,0,success,2.32636617553915,7,60,1458808.903,3.0753584488962877
inst_7_first_instance_set_large_3000_600_60,7,multi_p_median_benders,simple_deactivate,3000,600,60,327.64299988746643,14.730000019073486,342.3729999065399,1540944.0,1512139.0,2,28805.0,1,0,0,success,1.86930868350829,7,60,1458808.903,3.526798594573651
inst_7_first_instance_set_large_3000_600_60,7,multi_p_median_benders,interchange_deactivate,3000,600,60,327.64299988746643,48.90400004386902,376.54699993133545,1540944.0,1511696.0,2,29248.0,0,1,0,success,1.8980572947491896,7,60,1458808.903,3.498527283263306
inst_1_first_instance_set_large_3000_600_80,1,multi_p_median_benders,all_moves,3000,600,80,140.41100001335144,79.95199990272522,220.36299991607663,1403230.0,1344121.0,3,59109.0,1,2,1,success,4.21235292860044,1,80,1263646.217,5.987168045138797
inst_1_first_instance_set_large_3000_600_80,1,multi_p_median_benders,simple_interchange,3000,600,80,140.41100001335144,20.143999814987183,160.55499982833862,1403230.0,1345645.0,2,57585.0,1,1,0,success,4.103746356620079,1,80,1263646.217,6.093641562224811
inst_1_first_instance_set_large_3000_600_80,1,multi_p_median_benders,simple_deactivate,3000,600,80,140.41100001335144,43.55000019073486,183.9610002040863,1403230.0,1360378.0,3,42852.0,2,0,1,success,3.05381156332176,1,80,1263646.217,7.110654759191934
inst_1_first_instance_set_large_3000_600_80,1,multi_p_median_benders,interchange_deactivate,3000,600,80,140.41100001335144,163.44299983978271,303.85399985313416,1403230.0,1350581.0,4,52649.0,0,3,2,success,3.75198648831624,1,80,1263646.217,6.436843328908082
inst_4_first_instance_set_large_3000_600_40,4,multi_p_median_benders,all_moves,3000,600,40,495.6129999160767,43.08800005912781,538.7009999752045,1861143.0,1824161.0,3,36982.0,2,2,1,success,1.98705849040079,4,40,1782466.591,2.285675935402631
inst_4_first_instance_set_large_3000_600_40,4,multi_p_median_benders,simple_interchange,3000,600,40,495.6129999160767,10.484999895095823,506.0979998111725,1861143.0,1825730.0,3,35413.0,2,2,0,success,1.9027554572647,4,40,1782466.591,2.36964989346727
inst_4_first_instance_set_large_3000_600_40,4,multi_p_median_benders,simple_deactivate,3000,600,40,495.6129999160767,27.05900001525879,522.6719999313354,1861143.0,1826797.0,3,34346.0,2,0,1,success,1.84542509629835,4,40,1782466.591,2.4266740639490862
inst_4_first_instance_set_large_3000_600_40,4,multi_p_median_benders,interchange_deactivate,3000,600,40,495.6129999160767,69.61200022697449,565.2250001430511,1861143.0,1836037.0,3,25106.0,0,2,1,success,1.34895599102272,4,40,1782466.591,2.9177194686163723
inst_9_first_instance_set_large_3000_600_60,9,multi_p_median_benders,all_moves,3000,600,60,450.50600004196167,28.625999927520752,479.1319999694824,1523426.0,1491731.0,2,31695.0,1,1,0,success,2.0805080128604803,9,60,1459407.936,2.1668158669357958
inst_9_first_instance_set_large_3000_600_60,9,multi_p_median_benders,simple_interchange,3000,600,60,450.50600004196167,14.769000053405762,465.2750000953674,1523426.0,1491731.0,2,31695.0,1,1,0,success,2.0805080128604803,9,60,1459407.936,2.1668158669357958
inst_9_first_instance_set_large_3000_600_60,9,multi_p_median_benders,simple_deactivate,3000,600,60,450.50600004196167,14.787999868392944,465.2939999103546,1523426.0,1498310.0,2,25116.0,1,0,0,success,1.6486524452123,9,60,1459407.936,2.5963962063925363
inst_9_first_instance_set_large_3000_600_60,9,multi_p_median_benders,interchange_deactivate,3000,600,60,450.50600004196167,85.20300006866455,535.7090001106262,1523426.0,1495904.0,3,27522.0,0,2,1,success,1.80658594510005,9,60,1459407.936,2.439733030996642
inst_3_first_instance_set_large_3000_600_80,3,multi_p_median_benders,all_moves,3000,600,80,183.510999917984,58.06500005722046,241.57599997520447,1356621.0,1318638.0,3,37983.0,2,2,0,success,2.79982397441879,3,80,1274080.286,3.3790709808150474
