instance_id,instance_number,y_method,move_config,B,S,P,construction_time,ls_time,total_time,post_repair_obj,post_ls_obj,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,rel_ls_improvement,instance_num,p_value,best_bound,optimality_gap
inst_16_first_instance_set_small_1000_200_25,16,multi_p_median,simple_interchange,1000,200,25,12.63699984550476,0.3680000305175781,13.00499987602234,874511.0,842915.0,2,31596.0,1,1,0,success,3.6129905741608703,16,25,760857.0257867827,9.735023604185152
inst_16_first_instance_set_small_1000_200_25,16,multi_p_median,simple_deactivate,1000,200,25,12.63699984550476,0.2149999141693115,12.851999759674072,874511.0,852919.0,2,21592.0,1,0,0,success,2.4690369818104,16,25,760857.0257867827,10.793753476381376
inst_16_first_instance_set_small_1000_200_25,16,multi_p_median,interchange_deactivate,1000,200,25,12.63699984550476,0.8269999027252197,13.46399974822998,874511.0,846958.0,2,27553.0,0,1,0,success,3.15067506297805,16,25,760857.0257867827,10.165908370098313
inst_6_first_instance_set_small_1000_200_25,6,multi_p_median,all_moves,1000,200,25,14.444000005722046,0.7749998569488525,15.218999862670898,810944.0,793516.0,2,17428.0,1,1,0,success,2.14910030778944,6,25,778281.5478409638,1.919867042257016
inst_6_first_instance_set_small_1000_200_25,6,multi_p_median,simple_interchange,1000,200,25,14.444000005722046,0.247999906539917,14.691999912261965,810944.0,793516.0,2,17428.0,1,1,0,success,2.14910030778944,6,25,778281.5478409638,1.919867042257016
inst_6_first_instance_set_small_1000_200_25,6,multi_p_median,simple_deactivate,1000,200,25,14.444000005722046,0.3050000667572021,14.749000072479248,810944.0,799204.0,2,11740.0,1,0,0,success,1.44769552521505,6,25,778281.5478409638,2.6179113416644793
inst_6_first_instance_set_small_1000_200_25,6,multi_p_median,interchange_deactivate,1000,200,25,14.444000005722046,0.6610000133514404,15.105000019073486,810944.0,796906.0,2,14038.0,0,1,0,success,1.7310689764028002,6,25,778281.5478409638,2.3370952357036066
inst_22_first_instance_set_small_1000_200_15,22,multi_p_median,all_moves,1000,200,15,28.7739999294281,0.2509999275207519,29.024999856948853,1052991.0,1030596.0,2,22395.0,1,1,0,success,2.12679880454818,22,15,975398.8024303,5.355852105936755
inst_22_first_instance_set_small_1000_200_15,22,multi_p_median,simple_interchange,1000,200,15,28.7739999294281,0.1229999065399169,28.896999835968018,1052991.0,1030596.0,2,22395.0,1,1,0,success,2.12679880454818,22,15,975398.8024303,5.355852105936755
inst_22_first_instance_set_small_1000_200_15,22,multi_p_median,simple_deactivate,1000,200,15,28.7739999294281,0.0959999561309814,28.86999988555908,1052991.0,1032550.0,2,20441.0,1,0,0,success,1.9412321662768202,22,15,975398.8024303,5.5349569095636975
inst_22_first_instance_set_small_1000_200_15,22,multi_p_median,interchange_deactivate,1000,200,15,28.7739999294281,0.5130000114440918,29.286999940872192,1052991.0,1039129.0,2,13862.0,0,1,0,success,1.3164405013908,22,15,975398.8024303,6.1330400334992055
inst_11_first_instance_set_small_1000_200_15,11,multi_p_median,all_moves,1000,200,15,62.5789999961853,0.9219999313354492,63.50099992752075,1132883.0,1087380.0,3,45503.0,2,2,1,success,4.01656658278039,11,15,1013990.3864253229,6.749214954723937
inst_11_first_instance_set_small_1000_200_15,11,multi_p_median,simple_interchange,1000,200,15,62.5789999961853,0.3730001449584961,62.9520001411438,1132883.0,1095375.0,3,37508.0,2,1,0,success,3.31084498575757,11,15,1013990.3864253229,7.429840335472067
inst_11_first_instance_set_small_1000_200_15,11,multi_p_median,simple_deactivate,1000,200,15,62.5789999961853,0.182999849319458,62.76199984550476,1132883.0,1103870.0,2,29013.0,1,0,0,success,2.56098820443064,11,15,1013990.3864253229,8.142228122394588
inst_11_first_instance_set_small_1000_200_15,11,multi_p_median,interchange_deactivate,1000,200,15,62.5789999961853,1.309999942779541,63.88899993896485,1132883.0,1100502.0,3,32381.0,0,2,1,success,2.85828280590316,11,15,1013990.3864253229,7.861104620861857
inst_21_first_instance_set_small_1000_200_15,21,multi_p_median,all_moves,1000,200,15,20.365000009536743,0.4719998836517334,20.83699989318848,1040611.0,1009837.0,2,30774.0,1,1,0,success,2.95730104717324,21,15,991077.390505716,1.8576868835548734
inst_21_first_instance_set_small_1000_200_15,21,multi_p_median,simple_interchange,1000,200,15,20.365000009536743,0.2650001049041748,20.63000011444092,1040611.0,1009837.0,2,30774.0,1,1,0,success,2.95730104717324,21,15,991077.390505716,1.8576868835548734
