alpha_l	alpha_a	Average Runtime	Std Dev Runtime
0.1	0.1	12826.96	7740.936857185878
0.1	0.3	12628.84	7854.877167773939
0.1	0.5	13697.28	8572.477454967051
0.1	0.7	13703.06	8208.17355310907
0.1	0.9	13391.44	8159.773491654168
0.3	0.1	12476.48	7466.018990118919
0.3	0.3	12433.44	7622.369100247519
0.3	0.5	12734.84	7746.942131063121
0.3	0.7	12859.76	7958.047359620272
0.3	0.9	12609.88	7561.110027135501
0.5	0.1	12589.78	7938.811329031519
0.5	0.3	12698.26	7851.878638613196
0.5	0.5	12998.34	8081.71207010505
0.5	0.7	12607.28	7517.506925103533
0.5	0.9	13015.68	7977.027561180714
0.7	0.1	13711.5	8224.507861338847
0.7	0.3	13848.4	8403.3218383189
0.7	0.5	13013.3	7789.546129792368
0.7	0.7	13106.84	7485.8447490267
0.7	0.9	13219.28	7801.313921359134
0.9	0.1	13296.12	7726.19503375315
0.9	0.3	12607.96	7670.821617276836
0.9	0.5	12894.9	7663.447051039215
0.9	0.7	13055.14	7984.293809289662
0.9	0.9	13166.92	8377.122809467339
