Add,Alloc,B,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Value,ValueOptim
34,opp,1250,96,false,10,relax,62,0,155,3713,9000,1800000,12713,1336167,1000566
33,opp,1250,90,false,10,pdisp,62,0,155,2955,47,1800000,3002,2498216,1000566
34,opp,1250,95,false,11,relax,62,0,155,3179,8000,1800000,11179,1277268,961532
27,opp,1250,73,false,11,pdisp,62,0,155,3295,0,1800000,3295,2318105,961532
31,opp,1250,83,false,12,relax,62,0,155,3377,7000,1800000,10377,1218741,942927
33,opp,1250,89,false,12,pdisp,62,0,155,3316,0,1800000,3316,2340413,942927
36,opp,1250,102,false,13,relax,62,1,155,2917,8000,1800000,10917,1558321,1012883
31,opp,1250,86,false,13,pdisp,62,0,155,3507,0,1800000,3507,2676121,1012883
30,opp,1250,86,false,14,relax,62,1,155,3103,9000,1800000,12103,1444117,989256
26,opp,1250,73,false,14,pdisp,62,0,155,3358,0,1800000,3358,2561907,989256
34,opp,1250,97,false,15,relax,62,0,155,3604,9000,1800000,12604,1205092,961880
30,opp,1250,81,false,15,pdisp,62,1,155,3290,0,1800000,3290,2297217,961880
36,opp,1250,100,false,16,relax,62,1,155,3457,8000,1800000,11457,1228677,990297
32,opp,1250,84,false,16,pdisp,62,1,155,3368,0,1800000,3368,2359466,990297
37,opp,1250,106,false,17,relax,62,2,155,3548,7000,1800000,10548,1329962,993417
32,opp,1250,90,false,17,pdisp,62,0,155,3199,0,1800000,3199,2461972,993417
31,opp,1250,86,false,18,relax,62,1,155,3222,7000,1800000,10222,1260007,981137
30,opp,1250,80,false,18,pdisp,62,0,155,2906,0,1800000,2906,2342167,981137
35,opp,1250,96,false,19,relax,62,0,155,3527,12000,1800000,15527,1093428,973562
33,opp,1250,79,false,19,pdisp,62,0,155,3578,0,1800000,3578,2161929,973562
37,opp,1250,98,false,1,relax,62,1,155,3513,8000,1800000,11513,1235295,949231
33,opp,1250,87,false,1,pdisp,62,0,155,3157,0,1800000,3157,2320598,949231
30,opp,1250,85,false,20,relax,62,0,155,3439,7000,1800000,10439,1363100,972540
33,opp,1250,91,false,20,pdisp,62,0,155,3458,0,1800000,3458,2465609,972540
31,opp,1250,84,false,21,relax,62,0,155,3430,7000,105000,10430,1300401,979936
34,opp,1250,92,false,21,pdisp,62,0,155,3271,0,105000,3271,2365977,979936
33,opp,1250,96,false,2,relax,62,1,155,2689,8000,1800000,10689,1325401,977115
27,opp,1250,78,false,2,pdisp,62,0,155,3631,0,1800000,3631,2378953,977115
35,opp,1250,100,false,3,relax,62,0,155,3429,7000,1800000,10429,1330238,989363
30,opp,1250,79,false,3,pdisp,62,0,155,3266,0,1800000,3266,2380493,989363
34,opp,1250,100,false,4,relax,62,0,155,3399,8000,1800000,11399,1244939,974198
27,opp,1250,78,false,4,pdisp,62,0,155,3591,16,1800000,3607,2320237,974198
33,opp,1250,89,false,5,relax,62,0,155,3288,8000,1800000,11288,1172943,958651
30,opp,1250,84,false,5,pdisp,62,0,155,2804,0,1800000,2804,2250815,958651
34,opp,1250,92,false,6,relax,62,1,155,3522,7000,1800000,10522,1278441,964047
28,opp,1250,80,false,6,pdisp,62,0,155,3317,0,1800000,3317,2314975,964047
35,opp,1250,90,false,7,relax,62,0,155,2877,7000,1800000,9877,1274880,968395
26,opp,1250,69,false,7,pdisp,62,0,155,3812,0,1800000,3812,2335379,968395
33,opp,1250,90,false,8,relax,62,1,155,3449,7000,1800000,10449,1176476,986415
31,opp,1250,76,false,8,pdisp,62,0,155,3542,0,1800000,3542,2250825,986415
35,opp,1250,97,false,9,relax,62,0,155,2865,9000,1800000,11865,1260578,950606
30,opp,1250,80,false,9,pdisp,62,0,155,2583,0,1800000,2583,2320695,950606
