instance,threads,milliseconds,value
inst_21_1250_155_62.jld2,8,31579,1044411
inst_3_1250_155_62.jld2,1,67916,1056806
inst_3_1250_155_62.jld2,2,47934,1054465
inst_3_1250_155_62.jld2,3,38466,1065673
inst_3_1250_155_62.jld2,4,33884,1062385
inst_3_1250_155_62.jld2,5,30461,1052235
inst_3_1250_155_62.jld2,6,31543,1053343
inst_3_1250_155_62.jld2,7,32237,1054520
inst_3_1250_155_62.jld2,8,31431,1054673
inst_4_1250_155_62.jld2,1,69045,1042450
inst_4_1250_155_62.jld2,2,45894,1034640
inst_4_1250_155_62.jld2,3,39170,1034407
inst_4_1250_155_62.jld2,4,33427,1039392
inst_4_1250_155_62.jld2,5,33264,1045625
inst_4_1250_155_62.jld2,6,32129,1042207
inst_4_1250_155_62.jld2,7,32709,1045146
inst_4_1250_155_62.jld2,8,32572,1046033
inst_5_1250_155_62.jld2,1,64642,1023372
inst_5_1250_155_62.jld2,2,44056,1027923
inst_5_1250_155_62.jld2,3,37916,1020452
inst_5_1250_155_62.jld2,4,31990,1020149
inst_5_1250_155_62.jld2,5,30135,1018754
inst_5_1250_155_62.jld2,6,29686,1021008
inst_5_1250_155_62.jld2,7,29203,1031092
inst_5_1250_155_62.jld2,8,31059,1026026
inst_6_1250_155_62.jld2,1,66118,1026759
inst_6_1250_155_62.jld2,2,39804,1031489
inst_6_1250_155_62.jld2,3,35268,1038814
inst_6_1250_155_62.jld2,4,33374,1033121
inst_6_1250_155_62.jld2,5,32891,1019574
inst_6_1250_155_62.jld2,6,29074,1031660
inst_6_1250_155_62.jld2,7,31871,1039569
inst_6_1250_155_62.jld2,8,30998,1034097
inst_7_1250_155_62.jld2,1,67602,1035542
inst_7_1250_155_62.jld2,2,40319,1039348
inst_7_1250_155_62.jld2,3,33573,1019446
inst_7_1250_155_62.jld2,4,31813,1027038
inst_7_1250_155_62.jld2,5,29870,1049126
inst_7_1250_155_62.jld2,6,29081,1028580
inst_7_1250_155_62.jld2,7,30224,1033838
inst_7_1250_155_62.jld2,8,29443,1033593
inst_8_1250_155_62.jld2,1,59784,1034895
inst_8_1250_155_62.jld2,2,42584,1048695
inst_8_1250_155_62.jld2,3,35396,1044650
inst_8_1250_155_62.jld2,4,31524,1029860
inst_8_1250_155_62.jld2,5,30273,1029360
inst_8_1250_155_62.jld2,6,29510,1048049
inst_8_1250_155_62.jld2,7,30970,1038306
inst_8_1250_155_62.jld2,8,30043,1045097
inst_9_1250_155_62.jld2,1,68188,1012675
inst_9_1250_155_62.jld2,2,43103,1023501
inst_9_1250_155_62.jld2,3,33999,1020015
inst_9_1250_155_62.jld2,4,32373,1016824
inst_9_1250_155_62.jld2,5,31931,999085
inst_9_1250_155_62.jld2,6,29952,1021411
inst_9_1250_155_62.jld2,7,30646,1027229
inst_9_1250_155_62.jld2,8,31200,1012197
