alpha_l	alpha_a	Average ValueGRASP	Std Dev ValueGRASP
0.1	0.1	1033436.38	21161.65642400791
0.1	0.3	1031310.92	19607.917839318612
0.1	0.5	1030214.74	20790.553207794183
0.1	0.7	1033211.08	19083.73431115554
0.1	0.9	1031335.22	18663.38744357466
0.3	0.1	1031990.86	20842.32948319647
0.3	0.3	1031965.3	18438.245209844896
0.3	0.5	1030594.44	17346.108299828793
0.3	0.7	1033354.48	18462.96449015972
0.3	0.9	1033579.26	16726.934370075633
0.5	0.1	1031682.38	16283.945030323954
0.5	0.3	1031399.98	19983.815348865508
0.5	0.5	1034890.94	17741.338656450313
0.5	0.7	1033541.7	19896.98553647706
0.5	0.9	1031651.56	18886.96359835843
0.7	0.1	1035186.54	17860.75490692672
0.7	0.3	1030217.46	17343.059178877334
0.7	0.5	1031896.58	18467.88499552008
0.7	0.7	1031814.18	19061.023823809643
0.7	0.9	1032594.38	18451.67151865231
0.9	0.1	1029032.18	19211.977909935144
0.9	0.3	1029273.22	17728.695821239657
0.9	0.5	1029305.28	17180.4946604323
0.9	0.7	1030232.44	18602.981401564106
0.9	0.9	1030645.42	20052.790285857267
