Add,Alloc,B,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Value,ValueOptim
34,opp,1250,96,false,10,relax,62,0,155,3777,9000,1800000,12777,1336167,1000566
33,opp,1250,90,false,10,pdisp,62,0,155,2963,33,1800000,2996,2498216,1000566
34,opp,1250,95,false,11,relax,62,0,155,3210,8000,1800000,11210,1277268,961532
27,opp,1250,73,false,11,pdisp,62,0,155,3314,0,1800000,3314,2318105,961532
31,opp,1250,83,false,12,relax,62,0,155,3389,8000,1800000,11389,1218741,942927
33,opp,1250,89,false,12,pdisp,62,0,155,3266,0,1800000,3266,2340413,942927
36,opp,1250,102,false,13,relax,62,1,155,2833,8000,1800000,10833,1558321,1012883
31,opp,1250,86,false,13,pdisp,62,0,155,3481,0,1800000,3481,2676121,1012883
30,opp,1250,86,false,14,relax,62,1,155,2917,9000,1800000,11917,1444117,989256
26,opp,1250,73,false,14,pdisp,62,0,155,3229,0,1800000,3229,2561907,989256
34,opp,1250,97,false,15,relax,62,0,155,3350,9000,1800000,12350,1205092,961880
30,opp,1250,81,false,15,pdisp,62,1,155,3342,0,1800000,3342,2297217,961880
36,opp,1250,100,false,16,relax,62,1,155,3413,8000,1800000,11413,1228677,990297
32,opp,1250,84,false,16,pdisp,62,1,155,3254,0,1800000,3254,2359466,990297
37,opp,1250,106,false,17,relax,62,2,155,3309,7000,1800000,10309,1329962,993417
32,opp,1250,90,false,17,pdisp,62,0,155,3066,0,1800000,3066,2461972,993417
31,opp,1250,86,false,18,relax,62,1,155,3025,7000,1800000,10025,1260007,981137
30,opp,1250,80,false,18,pdisp,62,0,155,3018,0,1800000,3018,2342167,981137
35,opp,1250,96,false,19,relax,62,0,155,3361,11000,1800000,14361,1093428,973562
33,opp,1250,79,false,19,pdisp,62,0,155,3545,0,1800000,3545,2161929,973562
37,opp,1250,98,false,1,relax,62,1,155,3318,8000,1800000,11318,1235295,949231
33,opp,1250,87,false,1,pdisp,62,0,155,3132,0,1800000,3132,2320598,949231
30,opp,1250,85,false,20,relax,62,0,155,3271,7000,1800000,10271,1363100,972540
33,opp,1250,91,false,20,pdisp,62,0,155,3447,0,1800000,3447,2465609,972540
31,opp,1250,84,false,21,relax,62,0,155,3393,7000,105000,10393,1300401,979936
34,opp,1250,92,false,21,pdisp,62,0,155,3277,0,105000,3277,2365977,979936
33,opp,1250,96,false,2,relax,62,1,155,2653,8000,1800000,10653,1325401,977115
27,opp,1250,78,false,2,pdisp,62,0,155,3558,0,1800000,3558,2378953,977115
35,opp,1250,100,false,3,relax,62,0,155,3218,7000,1800000,10218,1330238,989363
30,opp,1250,79,false,3,pdisp,62,0,155,3126,0,1800000,3126,2380493,989363
34,opp,1250,100,false,4,relax,62,0,155,3241,7000,1800000,10241,1244939,974198
27,opp,1250,78,false,4,pdisp,62,0,155,3459,0,1800000,3459,2320237,974198
33,opp,1250,89,false,5,relax,62,0,155,2977,9000,1800000,11977,1172943,958651
30,opp,1250,84,false,5,pdisp,62,0,155,2786,0,1800000,2786,2250815,958651
34,opp,1250,92,false,6,relax,62,1,155,3328,7000,1800000,10328,1278441,964047
28,opp,1250,80,false,6,pdisp,62,0,155,3249,0,1800000,3249,2314975,964047
35,opp,1250,90,false,7,relax,62,0,155,2698,7000,1800000,9698,1274880,968395
26,opp,1250,69,false,7,pdisp,62,0,155,3656,0,1800000,3656,2335379,968395
33,opp,1250,90,false,8,relax,62,1,155,3035,7000,1800000,10035,1176476,986415
31,opp,1250,76,false,8,pdisp,62,0,155,3331,0,1800000,3331,2250825,986415
35,opp,1250,97,false,9,relax,62,0,155,2705,9000,1800000,11705,1260578,950606
30,opp,1250,80,false,9,pdisp,62,0,155,2517,0,1800000,2517,2320695,950606
