Alloc,B,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,1250,6.270251737469101,10,pdisp,62,155,1800000,17865,1067501,1000566,0.1,0.1,10
queue,1250,5.276790320977365,10,pdisp,62,155,1800000,24714,1056305,1000566,0.1,0.1,30
queue,1250,4.647246674309635,10,pdisp,62,155,1800000,40280,1049331,1000566,0.1,0.1,50
queue,1250,5.527392416441401,10,pdisp,62,155,1800000,54932,1059107,1000566,0.1,0.1,70
queue,1250,5.011781369676783,10,pdisp,62,155,1800000,72345,1053358,1000566,0.1,0.1,90
queue,1250,5.007362511855495,10,pdisp,62,155,1800000,10321,1053309,1000566,0.3,0.1,10
queue,1250,5.717007605275725,10,pdisp,62,155,1800000,26753,1061237,1000566,0.3,0.1,30
queue,1250,5.476163709586757,10,pdisp,62,155,1800000,36992,1058533,1000566,0.3,0.1,50
queue,1250,4.159702220225614,10,pdisp,62,155,1800000,54209,1043993,1000566,0.3,0.1,70
queue,1250,4.342405785157943,10,pdisp,62,155,1800000,67790,1045987,1000566,0.3,0.1,90
queue,1250,7.00947130402133,10,pdisp,62,155,1800000,8926,1075987,1000566,0.5,0.1,10
queue,1250,6.443954695867071,10,pdisp,62,155,1800000,24399,1069483,1000566,0.5,0.1,30
queue,1250,5.5707238534040915,10,pdisp,62,155,1800000,41409,1059593,1000566,0.5,0.1,50
queue,1250,5.81294866508898,10,pdisp,62,155,1800000,54993,1062318,1000566,0.5,0.1,70
queue,1250,5.65869084963807,10,pdisp,62,155,1800000,72051,1060581,1000566,0.5,0.1,90
queue,1250,6.257957710652717,10,pdisp,62,155,1800000,9253,1067361,1000566,0.7,0.1,10
queue,1250,4.748731256824468,10,pdisp,62,155,1800000,23483,1050449,1000566,0.7,0.1,30
queue,1250,5.032066766453136,10,pdisp,62,155,1800000,39531,1053583,1000566,0.7,0.1,50
queue,1250,5.230585627823714,10,pdisp,62,155,1800000,56654,1055790,1000566,0.7,0.1,70
queue,1250,4.758251360710631,10,pdisp,62,155,1800000,72727,1050554,1000566,0.7,0.1,90
queue,1250,6.067516149594865,10,pdisp,62,155,1800000,9335,1065197,1000566,0.9,0.1,10
queue,1250,6.126121392825712,10,pdisp,62,155,1800000,23357,1065862,1000566,0.9,0.1,30
queue,1250,5.099082163313662,10,pdisp,62,155,1800000,40508,1054327,1000566,0.9,0.1,50
queue,1250,4.683944043020382,10,pdisp,62,155,1800000,55299,1049735,1000566,0.9,0.1,70
queue,1250,4.730864592497797,10,pdisp,62,155,1800000,71241,1050252,1000566,0.9,0.1,90
queue,1250,7.040918808083985,10,pdisp,62,155,1800000,8653,1076351,1000566,0.1,0.3,10
queue,1250,4.2074153217815375,10,pdisp,62,155,1800000,24730,1044513,1000566,0.1,0.3,30
queue,1250,5.902677529386424,10,pdisp,62,155,1800000,40662,1063331,1000566,0.1,0.3,50
queue,1250,5.15018082368387,10,pdisp,62,155,1800000,59710,1054895,1000566,0.1,0.3,70
queue,1250,5.403956604977667,10,pdisp,62,155,1800000,70451,1057725,1000566,0.1,0.3,90
queue,1250,5.906571059127774,10,pdisp,62,155,1800000,8732,1063375,1000566,0.3,0.3,10
queue,1250,5.493751948088743,10,pdisp,62,155,1800000,25481,1058730,1000566,0.3,0.3,30
queue,1250,6.178583685433459,10,pdisp,62,155,1800000,42436,1066458,1000566,0.3,0.3,50
queue,1250,4.167780086027806,10,pdisp,62,155,1800000,59138,1044081,1000566,0.3,0.3,70
queue,1250,5.222596170696059,10,pdisp,62,155,1800000,74570,1055701,1000566,0.3,0.3,90
queue,1250,5.713364920335174,10,pdisp,62,155,1800000,9383,1061196,1000566,0.5,0.3,10
queue,1250,4.7420207068903935,10,pdisp,62,155,1800000,24776,1050375,1000566,0.5,0.3,30
queue,1250,4.797218606562992,10,pdisp,62,155,1800000,41015,1050984,1000566,0.5,0.3,50
queue,1250,5.785278049276554,10,pdisp,62,155,1800000,61365,1062006,1000566,0.5,0.3,70
queue,1250,5.162137876909423,10,pdisp,62,155,1800000,74342,1055028,1000566,0.5,0.3,90
queue,1250,6.249789181349019,10,pdisp,62,155,1800000,8268,1067268,1000566,0.7,0.3,10
queue,1250,6.43021866110054,10,pdisp,62,155,1800000,25996,1069326,1000566,0.7,0.3,30
queue,1250,5.279480467844011,10,pdisp,62,155,1800000,40915,1056335,1000566,0.7,0.3,50
queue,1250,4.189620221407441,10,pdisp,62,155,1800000,60259,1044319,1000566,0.7,0.3,70
queue,1250,4.487229052295161,10,pdisp,62,155,1800000,71790,1047573,1000566,0.7,0.3,90
queue,1250,5.974920781695781,10,pdisp,62,155,1800000,9278,1064148,1000566,0.9,0.3,10
queue,1250,4.709905801883963,10,pdisp,62,155,1800000,24799,1050021,1000566,0.9,0.3,30
queue,1250,5.741077787449555,10,pdisp,62,155,1800000,41609,1061508,1000566,0.9,0.3,50
queue,1250,4.128020175384806,10,pdisp,62,155,1800000,57656,1043648,1000566,0.9,0.3,70
queue,1250,5.4244324422422885,10,pdisp,62,155,1800000,72870,1057954,1000566,0.9,0.3,90
queue,1250,5.376224093662374,10,pdisp,62,155,1800000,10975,1057415,1000566,0.1,0.5,10
queue,1250,4.950421686403628,10,pdisp,62,155,1800000,26163,1052678,1000566,0.1,0.5,30
queue,1250,4.889796360670607,10,pdisp,62,155,1800000,40373,1052007,1000566,0.1,0.5,50
queue,1250,5.109432287408888,10,pdisp,62,155,1800000,59906,1054442,1000566,0.1,0.5,70
queue,1250,4.521771989556777,10,pdisp,62,155,1800000,71027,1047952,1000566,0.1,0.5,90
queue,1250,6.72600508801483,10,pdisp,62,155,1800000,8858,1072717,1000566,0.3,0.5,10
queue,1250,5.177596664139495,10,pdisp,62,155,1800000,25812,1055200,1000566,0.3,0.5,30
queue,1250,4.853438315717407,10,pdisp,62,155,1800000,41295,1051605,1000566,0.3,0.5,50
queue,1250,5.052163301404622,10,pdisp,62,155,1800000,57119,1053806,1000566,0.3,0.5,70
queue,1250,3.8407350100429616,10,pdisp,62,155,1800000,76889,1040530,1000566,0.3,0.5,90
queue,1250,5.679145483974057,10,pdisp,62,155,1800000,8017,1060811,1000566,0.5,0.5,10
queue,1250,5.478038909682459,10,pdisp,62,155,1800000,23815,1058554,1000566,0.5,0.5,30
queue,1250,4.149602972746946,10,pdisp,62,155,1800000,40486,1043883,1000566,0.5,0.5,50
