group1,group2,meandiff,p-adj,lower,upper
0.3_10,0.3_70,14824.9,0.001,12435.7361,17214.0639
0.3_10,0.3_90,20270.94,0.001,17881.7761,22660.1039
0.3_10,0.5_30,5252.9,0.001,2863.7361,7642.0639
0.3_10,0.5_50,10047.18,0.001,7658.0161,12436.3439
0.3_10,0.5_70,15854.08,0.001,13464.9161,18243.2439
0.3_10,0.5_90,20012.36,0.001,17623.1961,22401.5239
0.3_10,0.7_30,5245.8,0.001,2856.6361,7634.9639
0.3_10,0.7_50,10744.96,0.001,8355.7961,13134.1239
0.3_10,0.7_70,15296.98,0.001,12907.8161,17686.1439
0.3_10,0.7_90,19814.96,0.001,17425.7961,22204.1239
0.3_10,0.9_30,5054.34,0.001,2665.1761,7443.5039
0.3_10,0.9_50,10105.58,0.001,7716.4161,12494.7439
0.3_10,0.9_70,15039.28,0.001,12650.1161,17428.4439
0.3_10,0.9_90,20941.58,0.001,18552.4161,23330.7439
0.3_30,0.3_50,5191.02,0.001,2801.8561,7580.1839
0.3_30,0.3_70,9971.68,0.001,7582.5161,12360.8439
0.3_30,0.3_90,15417.72,0.001,13028.5561,17806.8839
0.3_30,0.5_10,-4904.68,0.001,-7293.8439,-2515.5161
0.3_30,0.5_50,5193.96,0.001,2804.7961,7583.1239
0.3_30,0.5_70,11000.86,0.001,8611.6961,13390.0239
0.3_30,0.5_90,15159.14,0.001,12769.9761,17548.3039
0.3_30,0.7_10,-4847.44,0.001,-7236.6039,-2458.2761
0.3_30,0.7_50,5891.74,0.001,3502.5761,8280.9039
0.3_30,0.7_70,10443.76,0.001,8054.5961,12832.9239
0.3_30,0.7_90,14961.74,0.001,12572.5761,17350.9039
0.3_30,0.9_10,-4814.4,0.001,-7203.5639,-2425.2361
0.3_30,0.9_50,5252.36,0.001,2863.1961,7641.5239
0.3_30,0.9_70,10186.06,0.001,7796.8961,12575.2239
0.3_30,0.9_90,16088.36,0.001,13699.1961,18477.5239
0.3_50,0.3_70,4780.66,0.001,2391.4961,7169.8239
0.3_50,0.3_90,10226.7,0.001,7837.5361,12615.8639
0.3_50,0.5_10,-10095.7,0.001,-12484.8639,-7706.5361
0.3_50,0.5_30,-4791.34,0.001,-7180.5039,-2402.1761
0.3_50,0.5_70,5809.84,0.001,3420.6761,8199.0039
0.3_50,0.5_90,9968.12,0.001,7578.9561,12357.2839
0.3_50,0.7_10,-10038.46,0.001,-12427.6239,-7649.2961
0.3_50,0.7_30,-4798.44,0.001,-7187.6039,-2409.2761
0.3_50,0.7_70,5252.74,0.001,2863.5761,7641.9039
0.3_50,0.7_90,9770.72,0.001,7381.5561,12159.8839
0.3_50,0.9_10,-10005.42,0.001,-12394.5839,-7616.2561
0.3_50,0.9_30,-4989.9,0.001,-7379.0639,-2600.7361
0.3_50,0.9_70,4995.04,0.001,2605.8761,7384.2039
0.3_50,0.9_90,10897.34,0.001,8508.1761,13286.5039
0.3_70,0.3_90,5446.04,0.001,3056.8761,7835.2039
0.3_70,0.5_10,-14876.36,0.001,-17265.5239,-12487.1961
0.3_70,0.5_30,-9572.0,0.001,-11961.1639,-7182.8361
0.3_70,0.5_50,-4777.72,0.001,-7166.8839,-2388.5561
0.3_70,0.5_90,5187.46,0.001,2798.2961,7576.6239
0.3_70,0.7_10,-14819.12,0.001,-17208.2839,-12429.9561
0.3_70,0.7_30,-9579.1,0.001,-11968.2639,-7189.9361
0.3_70,0.7_50,-4079.94,0.001,-6469.1039,-1690.7761
0.3_70,0.7_90,4990.06,0.001,2600.8961,7379.2239
0.3_70,0.9_10,-14786.08,0.001,-17175.2439,-12396.9161
0.3_70,0.9_30,-9770.56,0.001,-12159.7239,-7381.3961
0.3_70,0.9_50,-4719.32,0.001,-7108.4839,-2330.1561
0.3_70,0.9_90,6116.68,0.001,3727.5161,8505.8439
0.3_90,0.5_10,-20322.4,0.001,-22711.5639,-17933.2361
0.3_90,0.5_30,-15018.04,0.001,-17407.2039,-12628.8761
0.3_90,0.5_50,-10223.76,0.001,-12612.9239,-7834.5961
0.3_90,0.5_70,-4416.86,0.001,-6806.0239,-2027.6961
0.3_90,0.7_10,-20265.16,0.001,-22654.3239,-17875.9961
0.3_90,0.7_30,-15025.14,0.001,-17414.3039,-12635.9761
0.3_90,0.7_50,-9525.98,0.001,-11915.1439,-7136.8161
0.3_90,0.7_70,-4973.96,0.001,-7363.1239,-2584.7961
0.3_90,0.9_10,-20232.12,0.001,-22621.2839,-17842.9561
0.3_90,0.9_30,-15216.6,0.001,-17605.7639,-12827.4361
0.3_90,0.9_50,-10165.36,0.001,-12554.5239,-7776.1961
0.3_90,0.9_70,-5231.66,0.001,-7620.8239,-2842.4961
0.5_10,0.5_30,5304.36,0.001,2915.1961,7693.5239
0.5_10,0.5_50,10098.64,0.001,7709.4761,12487.8039
0.5_10,0.5_70,15905.54,0.001,13516.3761,18294.7039
0.5_10,0.5_90,20063.82,0.001,17674.6561,22452.9839
0.5_10,0.7_30,5297.26,0.001,2908.0961,7686.4239
0.5_10,0.7_50,10796.42,0.001,8407.2561,13185.5839
0.5_10,0.7_70,15348.44,0.001,12959.2761,17737.6039
0.5_10,0.7_90,19866.42,0.001,17477.2561,22255.5839
0.5_10,0.9_30,5105.8,0.001,2716.6361,7494.9639
0.5_10,0.9_50,10157.04,0.001,7767.8761,12546.2039
0.5_10,0.9_70,15090.74,0.001,12701.5761,17479.9039
0.5_10,0.9_90,20993.04,0.001,18603.8761,23382.2039
0.5_30,0.5_50,4794.28,0.001,2405.1161,7183.4439
0.5_30,0.5_70,10601.18,0.001,8212.0161,12990.3439
0.5_30,0.5_90,14759.46,0.001,12370.2961,17148.6239
0.5_30,0.7_10,-5247.12,0.001,-7636.2839,-2857.9561
0.5_30,0.7_50,5492.06,0.001,3102.8961,7881.2239
0.5_30,0.7_70,10044.08,0.001,7654.9161,12433.2439
0.5_30,0.7_90,14562.06,0.001,12172.8961,16951.2239
0.5_30,0.9_10,-5214.08,0.001,-7603.2439,-2824.9161
0.5_30,0.9_50,4852.68,0.001,2463.5161,7241.8439
0.5_30,0.9_70,9786.38,0.001,7397.2161,12175.5439
0.5_30,0.9_90,15688.68,0.001,13299.5161,18077.8439
0.5_50,0.5_70,5806.9,0.001,3417.7361,8196.0639
0.5_50,0.5_90,9965.18,0.001,7576.0161,12354.3439
0.5_50,0.7_10,-10041.4,0.001,-12430.5639,-7652.2361
0.5_50,0.7_30,-4801.38,0.001,-7190.5439,-2412.2161
0.5_50,0.7_70,5249.8,0.001,2860.6361,7638.9639
0.5_50,0.7_90,9767.78,0.001,7378.6161,12156.9439
0.5_50,0.9_10,-10008.36,0.001,-12397.5239,-7619.1961
0.5_50,0.9_30,-4992.84,0.001,-7382.0039,-2603.6761
0.5_50,0.9_70,4992.1,0.001,2602.9361,7381.2639
0.5_50,0.9_90,10894.4,0.001,8505.2361,13283.5639
0.5_70,0.5_90,4158.28,0.001,1769.1161,6547.4439
0.5_70,0.7_10,-15848.3,0.001,-18237.4639,-13459.1361
0.5_70,0.7_30,-10608.28,0.001,-12997.4439,-8219.1161
0.5_70,0.7_50,-5109.12,0.001,-7498.2839,-2719.9561
0.5_70,0.7_90,3960.88,0.001,1571.7161,6350.0439
0.5_70,0.9_10,-15815.26,0.001,-18204.4239,-13426.0961
0.5_70,0.9_30,-10799.74,0.001,-13188.9039,-8410.5761
0.5_70,0.9_50,-5748.5,0.001,-8137.6639,-3359.3361
0.5_70,0.9_90,5087.5,0.001,2698.3361,7476.6639
0.5_90,0.7_10,-20006.58,0.001,-22395.7439,-17617.4161
0.5_90,0.7_30,-14766.56,0.001,-17155.7239,-12377.3961
0.5_90,0.7_50,-9267.4,0.001,-11656.5639,-6878.2361
0.5_90,0.7_70,-4715.38,0.001,-7104.5439,-2326.2161
0.5_90,0.9_10,-19973.54,0.001,-22362.7039,-17584.3761
0.5_90,0.9_30,-14958.02,0.001,-17347.1839,-12568.8561
0.5_90,0.9_50,-9906.78,0.001,-12295.9439,-7517.6161
0.5_90,0.9_70,-4973.08,0.001,-7362.2439,-2583.9161
0.7_10,0.7_30,5240.02,0.001,2850.8561,7629.1839
0.7_10,0.7_50,10739.18,0.001,8350.0161,13128.3439
0.7_10,0.7_70,15291.2,0.001,12902.0361,17680.3639
0.7_10,0.7_90,19809.18,0.001,17420.0161,22198.3439
0.7_10,0.9_30,5048.56,0.001,2659.3961,7437.7239
0.7_10,0.9_50,10099.8,0.001,7710.6361,12488.9639
0.7_10,0.9_70,15033.5,0.001,12644.3361,17422.6639
0.7_10,0.9_90,20935.8,0.001,18546.6361,23324.9639
0.7_30,0.7_50,5499.16,0.001,3109.9961,7888.3239
0.7_30,0.7_70,10051.18,0.001,7662.0161,12440.3439
0.7_30,0.7_90,14569.16,0.001,12179.9961,16958.3239
0.7_30,0.9_10,-5206.98,0.001,-7596.1439,-2817.8161
0.7_30,0.9_50,4859.78,0.001,2470.6161,7248.9439
0.7_30,0.9_70,9793.48,0.001,7404.3161,12182.6439
0.7_30,0.9_90,15695.78,0.001,13306.6161,18084.9439
0.7_50,0.7_70,4552.02,0.001,2162.8561,6941.1839
0.7_50,0.7_90,9070.0,0.001,6680.8361,11459.1639
0.7_50,0.9_10,-10706.14,0.001,-13095.3039,-8316.9761
0.7_50,0.9_30,-5690.62,0.001,-8079.7839,-3301.4561
0.7_50,0.9_70,4294.32,0.001,1905.1561,6683.4839
0.7_50,0.9_90,10196.62,0.001,7807.4561,12585.7839
0.7_70,0.7_90,4517.98,0.001,2128.8161,6907.1439
0.7_70,0.9_10,-15258.16,0.001,-17647.3239,-12868.9961
0.7_70,0.9_30,-10242.64,0.001,-12631.8039,-7853.4761
0.7_70,0.9_50,-5191.4,0.001,-7580.5639,-2802.2361
