group1,group2,meandiff,p-adj,lower,upper
0.3_90,0.7_70,-3762.52,0.001,-6146.2927,-1378.7473
0.3_90,0.9_10,-19249.84,0.001,-21633.6127,-16866.0673
0.3_90,0.9_30,-14128.52,0.001,-16512.2927,-11744.7473
0.3_90,0.9_50,-8871.62,0.001,-11255.3927,-6487.8473
0.3_90,0.9_70,-4497.78,0.001,-6881.5527,-2114.0073
0.5_10,0.5_30,4846.92,0.001,2463.1473,7230.6927
0.5_10,0.5_50,9739.44,0.001,7355.6673,12123.2127
0.5_10,0.5_70,15352.58,0.001,12968.8073,17736.3527
0.5_10,0.5_90,19899.9,0.001,17516.1273,22283.6727
0.5_10,0.7_30,5417.42,0.001,3033.6473,7801.1927
0.5_10,0.7_50,10586.96,0.001,8203.1873,12970.7327
0.5_10,0.7_70,15594.82,0.001,13211.0473,17978.5927
0.5_10,0.7_90,21043.68,0.001,18659.9073,23427.4527
0.5_10,0.9_30,5228.82,0.001,2845.0473,7612.5927
0.5_10,0.9_50,10485.72,0.001,8101.9473,12869.4927
0.5_10,0.9_70,14859.56,0.001,12475.7873,17243.3327
0.5_10,0.9_90,20268.94,0.001,17885.1673,22652.7127
0.5_30,0.5_50,4892.52,0.001,2508.7473,7276.2927
0.5_30,0.5_70,10505.66,0.001,8121.8873,12889.4327
0.5_30,0.5_90,15052.98,0.001,12669.2073,17436.7527
0.5_30,0.7_10,-4660.98,0.001,-7044.7527,-2277.2073
0.5_30,0.7_50,5740.04,0.001,3356.2673,8123.8127
0.5_30,0.7_70,10747.9,0.001,8364.1273,13131.6727
0.5_30,0.7_90,16196.76,0.001,13812.9873,18580.5327
0.5_30,0.9_10,-4739.42,0.001,-7123.1927,-2355.6473
0.5_30,0.9_50,5638.8,0.001,3255.0273,8022.5727
0.5_30,0.9_70,10012.64,0.001,7628.8673,12396.4127
0.5_30,0.9_90,15422.02,0.001,13038.2473,17805.7927
0.5_50,0.5_70,5613.14,0.001,3229.3673,7996.9127
0.5_50,0.5_90,10160.46,0.001,7776.6873,12544.2327
0.5_50,0.7_10,-9553.5,0.001,-11937.2727,-7169.7273
0.5_50,0.7_30,-4322.02,0.001,-6705.7927,-1938.2473
0.5_50,0.7_70,5855.38,0.001,3471.6073,8239.1527
0.5_50,0.7_90,11304.24,0.001,8920.4673,13688.0127
0.5_50,0.9_10,-9631.94,0.001,-12015.7127,-7248.1673
0.5_50,0.9_30,-4510.62,0.001,-6894.3927,-2126.8473
0.5_50,0.9_70,5120.12,0.001,2736.3473,7503.8927
0.5_50,0.9_90,10529.5,0.001,8145.7273,12913.2727
0.5_70,0.5_90,4547.32,0.001,2163.5473,6931.0927
0.5_70,0.7_10,-15166.64,0.001,-17550.4127,-12782.8673
0.5_70,0.7_30,-9935.16,0.001,-12318.9327,-7551.3873
0.5_70,0.7_50,-4765.62,0.001,-7149.3927,-2381.8473
0.5_70,0.7_90,5691.1,0.001,3307.3273,8074.8727
0.5_70,0.9_10,-15245.08,0.001,-17628.8527,-12861.3073
0.5_70,0.9_30,-10123.76,0.001,-12507.5327,-7739.9873
0.5_70,0.9_50,-4866.86,0.001,-7250.6327,-2483.0873
0.5_70,0.9_90,4916.36,0.001,2532.5873,7300.1327
0.5_90,0.7_10,-19713.96,0.001,-22097.7327,-17330.1873
0.5_90,0.7_30,-14482.48,0.001,-16866.2527,-12098.7073
0.5_90,0.7_50,-9312.94,0.001,-11696.7127,-6929.1673
0.5_90,0.7_70,-4305.08,0.001,-6688.8527,-1921.3073
0.5_90,0.9_10,-19792.4,0.001,-22176.1727,-17408.6273
0.5_90,0.9_30,-14671.08,0.001,-17054.8527,-12287.3073
0.5_90,0.9_50,-9414.18,0.001,-11797.9527,-7030.4073
0.5_90,0.9_70,-5040.34,0.001,-7424.1127,-2656.5673
0.7_10,0.7_30,5231.48,0.001,2847.7073,7615.2527
0.7_10,0.7_50,10401.02,0.001,8017.2473,12784.7927
0.7_10,0.7_70,15408.88,0.001,13025.1073,17792.6527
0.7_10,0.7_90,20857.74,0.001,18473.9673,23241.5127
0.7_10,0.9_30,5042.88,0.001,2659.1073,7426.6527
0.7_10,0.9_50,10299.78,0.001,7916.0073,12683.5527
0.7_10,0.9_70,14673.62,0.001,12289.8473,17057.3927
0.7_10,0.9_90,20083.0,0.001,17699.2273,22466.7727
0.7_30,0.7_50,5169.54,0.001,2785.7673,7553.3127
0.7_30,0.7_70,10177.4,0.001,7793.6273,12561.1727
0.7_30,0.7_90,15626.26,0.001,13242.4873,18010.0327
0.7_30,0.9_10,-5309.92,0.001,-7693.6927,-2926.1473
0.7_30,0.9_50,5068.3,0.001,2684.5273,7452.0727
0.7_30,0.9_70,9442.14,0.001,7058.3673,11825.9127
0.7_30,0.9_90,14851.52,0.001,12467.7473,17235.2927
0.7_50,0.7_70,5007.86,0.001,2624.0873,7391.6327
0.7_50,0.7_90,10456.72,0.001,8072.9473,12840.4927
0.7_50,0.9_10,-10479.46,0.001,-12863.2327,-8095.6873
0.7_50,0.9_30,-5358.14,0.001,-7741.9127,-2974.3673
0.7_50,0.9_70,4272.6,0.001,1888.8273,6656.3727
0.7_50,0.9_90,9681.98,0.001,7298.2073,12065.7527
0.7_70,0.7_90,5448.86,0.001,3065.0873,7832.6327
0.7_70,0.9_10,-15487.32,0.001,-17871.0927,-13103.5473
0.7_70,0.9_30,-10366.0,0.001,-12749.7727,-7982.2273
0.7_70,0.9_50,-5109.1,0.001,-7492.8727,-2725.3273
0.7_70,0.9_90,4674.12,0.001,2290.3473,7057.8927
0.7_90,0.9_10,-20936.18,0.001,-23319.9527,-18552.4073
0.7_90,0.9_30,-15814.86,0.001,-18198.6327,-13431.0873
0.7_90,0.9_50,-10557.96,0.001,-12941.7327,-8174.1873
0.7_90,0.9_70,-6184.12,0.001,-8567.8927,-3800.3473
0.9_10,0.9_30,5121.32,0.001,2737.5473,7505.0927
0.9_10,0.9_50,10378.22,0.001,7994.4473,12761.9927
0.9_10,0.9_70,14752.06,0.001,12368.2873,17135.8327
0.9_10,0.9_90,20161.44,0.001,17777.6673,22545.2127
0.9_30,0.9_50,5256.9,0.001,2873.1273,7640.6727
0.9_30,0.9_70,9630.74,0.001,7246.9673,12014.5127
0.9_30,0.9_90,15040.12,0.001,12656.3473,17423.8927
0.9_50,0.9_70,4373.84,0.001,1990.0673,6757.6127
0.9_50,0.9_90,9783.22,0.001,7399.4473,12166.9927
0.9_70,0.9_90,5409.38,0.001,3025.6073,7793.1527
