instance_id,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message
inst_13_first_instance_set_medium_2000_400_30,13,multi_p_median,2000,400,30,72.43500018119812,6.264999866485596,0.005000114440917969,4.5329999923706055,83.58599996566772,1.4248611361845115e6,1.424659e6,1.424659e6,1.400436e6,74,0.037,0,0,0,2,24223.0,1,1,0,success,
inst_13_first_instance_set_medium_2000_400_30,13,multi_p_median_benders,2000,400,30,104.59000015258789,5.7200000286102295,0.017999887466430664,5.273000001907349,115.64300012588501,1.4237567245925611e6,1.424171e6,1.424171e6,1.400581e6,76,0.038,0,0,0,3,23590.0,2,1,0,success,
inst_14_first_instance_set_medium_2000_400_30,14,relaxed,2000,400,30,308.19199991226196,7.020999908447266,0.006000041961669922,18.081000089645386,333.34999990463257,2.7145664514963143e6,2.708202e6,2.71113e6,2.27735e6,87,0.0435,0,2,0,5,433780.0,4,4,2,success,
inst_14_first_instance_set_medium_2000_400_30,14,pdisp,2000,400,30,0.003000020980834961,5.360000133514404,0.014999866485595703,30.539000034332275,35.943000078201294,2.683186227180154e6,2.683611e6,2.685935e6,1.660568e6,85,0.0425,0,2,0,4,1.025367e6,3,3,2,success,
inst_14_first_instance_set_medium_2000_400_30,14,multi_pdp,2000,400,30,300.2960000038147,6.941999912261963,0.023999929428100586,11.385999917984009,318.66799998283386,1.765226119584454e6,1.76438e6,1.766142e6,1.630841e6,78,0.039,0,1,0,4,135301.0,3,3,1,success,
inst_14_first_instance_set_medium_2000_400_30,14,multi_p_median,2000,400,30,305.77699995040894,6.699000120162964,0.03299999237060547,3.805000066757202,316.34800004959106,1.4700565935535799e6,1.469189e6,1.469837e6,1.438521e6,74,0.037,0,1,0,2,31316.0,1,1,0,success,
inst_14_first_instance_set_medium_2000_400_30,14,multi_p_median_benders,2000,400,30,214.22199988365173,5.891999959945679,0.01900005340576172,3.950000047683716,224.11299991607666,1.4425664188580154e6,1.441824e6,1.442472e6,1.415629e6,77,0.0385,0,1,0,2,26843.0,1,1,0,success,
inst_15_first_instance_set_medium_2000_400_30,15,relaxed,2000,400,30,307.4470000267029,7.003000020980835,0.003999948501586914,55.77499985694885,370.2720000743866,2.788369064100182e6,2.793625e6,2.792042e6,2.22775e6,86,0.043,0,1,0,4,564292.0,3,3,2,success,
inst_15_first_instance_set_medium_2000_400_30,15,pdisp,2000,400,30,0.002000093460083008,5.486000061035156,0.037999868392944336,37.538999795913696,43.110000133514404,2.9439013156670746e6,2.944984e6,2.95277e6,2.081398e6,88,0.044,2,4,0,6,871372.0,5,4,3,success,
inst_15_first_instance_set_medium_2000_400_30,15,multi_pdp,2000,400,30,300.4390001296997,6.628999948501587,0.017999887466430664,24.926999807357788,332.07400012016296,1.838961220646902e6,1.834637e6,1.83483e6,1.498911e6,76,0.038,0,1,0,5,335919.0,4,4,2,success,
