instance_id_x,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message,instance_id_y,gurobi_best_value,gurobi_best_bound,gurobi_gap,gurobi_time,post_repair_gap,post_ls_gap,post_repair_beats_gurobi,post_ls_beats_gurobi
inst_1_first_instance_set_small_1000_200_25,1,pdisp,1000,200,25,0.0009999275207519,1.3359999656677246,0.0050001144409179,4.128000020980835,5.520999908447266,1322930.022179452,1317755.0,1324659.0,961955.0,68,0.068,3,2,0,5,362704.0,4,4,3,success,,1,799679.0,791900.0137742449,0.0097276359961372,1800.0,0.6727604204558508,0.21474300197983628,False,False
inst_1_first_instance_set_small_1000_200_25,1,relaxed,1000,200,25,181.6219999790192,1.7890000343322754,0.0110001564025878,0.5999999046325684,184.0510001182556,867880.8495170637,868493.0,874887.0,842035.0,69,0.069,1,0,0,2,32852.0,1,1,0,success,,1,799679.0,791900.0137742449,0.0097276359961372,1800.0,0.10479477810618276,0.06330974283837754,False,False
inst_2_first_instance_set_small_1000_200_15,2,multi_p_median,1000,200,15,9.620999813079834,1.6010000705718994,0.0039999485015869,0.2430000305175781,11.493000030517578,1039641.4335044916,1039994.0,1039994.0,1023183.0,39,0.039,0,0,0,2,16811.0,1,1,0,success,,2,1011207.0,1003469.4252722674,0.0076518207723369,1800.0,0.03639829356815979,0.019645416423508633,False,False
inst_2_first_instance_set_small_1000_200_15,2,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.0569999217987,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.,2,1011207.0,1003469.4252722674,0.0076518207723369,1800.0,1.0,1.0,False,False
inst_2_first_instance_set_small_1000_200_15,2,multi_pdp,1000,200,15,22.028000116348267,1.304999828338623,0.0110001564025878,0.4689998626708984,23.835999965667725,1265686.0273482737,1266514.0,1266514.0,1245992.0,40,0.04,0,0,0,2,20522.0,1,1,0,success,,2,1011207.0,1003469.4252722674,0.0076518207723369,1800.0,0.2621351165296957,0.2416840699076904,False,False
inst_2_first_instance_set_small_1000_200_15,2,pdisp,1000,200,15,0.0009999275207519,1.5310001373291016,0.0119998455047607,4.763000011444092,6.325000047683716,2060453.7145809776,2063108.0,2067441.0,1202144.0,45,0.045,0,3,0,7,865297.0,6,6,5,success,,2,1011207.0,1003469.4252722674,0.0076518207723369,1800.0,1.0602929675102453,0.19798767129733622,False,False
inst_2_first_instance_set_small_1000_200_15,2,relaxed,1000,200,15,182.15399980545044,1.690999984741211,0.0110001564025878,0.3539998531341553,184.2259998321533,1120757.0235718223,1120000.0,1120000.0,1103252.0,33,0.033,0,0,0,3,16748.0,2,1,0,success,,2,1011207.0,1003469.4252722674,0.0076518207723369,1800.0,0.11612767842539376,0.09943758346265404,False,False
inst_2_first_instance_set_small_1000_200_20,2,multi_p_median,1000,200,20,16.6010000705719,1.4869999885559082,0.0019998550415039,0.499000072479248,18.60400009155273,904688.1737999629,906052.0,906052.0,884565.0,52,0.052,0,0,0,2,21487.0,1,1,0,success,,2,874234.0,857758.159447546,0.0188460304134293,1800.0,0.05630239715068229,0.03125221282618799,False,False
inst_2_first_instance_set_small_1000_200_20,2,multi_p_median_benders,1000,200,20,25.838000059127808,1.3499999046325684,0.0060000419616699,0.3589999675750732,27.5699999332428,921356.4472751936,919891.0,919891.0,900245.0,50,0.05,0,0,0,2,19646.0,1,1,0,success,,2,874234.0,857758.159447546,0.0188460304134293,1800.0,0.07243631537410467,0.04953242366102164,False,False
inst_2_first_instance_set_small_1000_200_20,2,multi_pdp,1000,200,20,20.88000011444092,1.3450000286102295,0.0099999904632568,1.8329999446868896,24.085000038146973,1080632.9040242634,1079998.0,1079998.0,939174.0,54,0.054,0,0,0,5,140824.0,4,3,2,success,,2,874234.0,857758.159447546,0.0188460304134293,1800.0,0.25909382278052756,0.09491701087972311,False,False
inst_2_first_instance_set_small_1000_200_20,2,pdisp,1000,200,20,0.0,1.3220000267028809,0.0130000114440917,4.100000143051148,5.4700000286102295,1547704.9099460992,1549284.0,1548313.0,1037042.0,55,0.055,1,0,0,5,511271.0,4,4,3,success,,2,874234.0,857758.159447546,0.0188460304134293,1800.0,0.8050693927496042,0.20901443906744632,False,False
inst_2_first_instance_set_small_1000_200_20,2,relaxed,1000,200,20,181.73300004005432,1.8280000686645508,0.0149998664855957,1.6010000705718994,185.20099997520447,996408.8125874936,995869.0,997668.0,926726.0,54,0.054,1,0,0,5,70942.0,4,4,1,success,,2,874234.0,857758.159447546,0.0188460304134293,1800.0,0.1631110575999246,0.08040476187002865,False,False
inst_2_first_instance_set_small_1000_200_25,2,multi_p_median,1000,200,25,22.146000146865845,1.438999891281128,0.0299999713897705,0.5840001106262207,24.22900009155273,814615.3887509465,812181.0,812470.0,797533.0,65,0.065,0,1,0,2,14937.0,1,1,0,success,,2,792599.0,773316.0,0.0243288220146631,1800.0,0.05063130725343844,0.03131578811249218,False,False
inst_2_first_instance_set_small_1000_200_25,2,multi_p_median_benders,1000,200,25,22.8199999332428,1.323000192642212,0.0009999275207519,0.6110000610351562,24.7739999294281,814615.3887509465,812181.0,812470.0,797533.0,65,0.065,0,1,0,2,14937.0,1,1,0,success,,2,792599.0,773316.0,0.0243288220146631,1800.0,0.05063130725343844,0.03131578811249218,False,False
inst_2_first_instance_set_small_1000_200_25,2,multi_pdp,1000,200,25,21.664999961853027,1.4100000858306885,0.0090000629425048,2.014999866485596,25.13700008392334,1010508.7188621972,1009956.0,1019975.0,871256.0,66,0.066,4,0,0,4,148719.0,3,2,1,success,,2,792599.0,773316.0,0.0243288220146631,1800.0,0.31896275261342066,0.12664939041737142,False,False
inst_2_first_instance_set_small_1000_200_25,2,pdisp,1000,200,25,0.0009999275207519,1.3329999446868896,0.0039999485015869,2.9189999103546143,4.283999919891357,1316973.0841727443,1316901.0,1320405.0,1014975.0,68,0.068,0,3,0,4,305430.0,3,3,1,success,,2,792599.0,773316.0,0.0243288220146631,1800.0,0.7074585292428969,0.3124970904520274,False,False
inst_2_first_instance_set_small_1000_200_25,2,relaxed,1000,200,25,181.65000009536743,1.749000072479248,0.0079998970031738,0.937999963760376,184.36700010299683,822542.1193246031,823042.0,824862.0,806697.0,63,0.063,0,1,0,3,18165.0,2,1,1,success,,2,792599.0,773316.0,0.0243288220146631,1800.0,0.06665580435423553,0.04316605372189377,False,False
inst_3_first_instance_set_small_1000_200_15,3,multi_p_median,1000,200,15,74.00200009346008,1.5869998931884766,0.0099999904632568,0.7210001945495605,76.33500003814697,1072457.351682712,1072994.0,1075862.0,1039366.0,41,0.041,0,1,0,3,36496.0,2,1,0,success,,3,1000128.0,995561.0140888268,0.0045664014117924,1800.0,0.08065903020988373,0.04400030263465576,False,False
inst_3_first_instance_set_small_1000_200_15,3,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.0789999961853,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.,3,1000128.0,995561.0140888268,0.0045664014117924,1800.0,1.0,1.0,False,False
inst_3_first_instance_set_small_1000_200_15,3,multi_pdp,1000,200,15,13.990999937057495,1.3530001640319824,0.0049998760223388,1.1779999732971191,16.54800009727478,1277259.6016889152,1279405.0,1281834.0,1124483.0,41,0.041,0,1,0,3,157351.0,2,2,1,success,,3,1000128.0,995561.0140888268,0.0045664014117924,1800.0,0.28754941370738635,0.12949682047279362,False,False
inst_3_first_instance_set_small_1000_200_15,3,pdisp,1000,200,15,0.0009999275207519,1.559000015258789,0.0139999389648437,1.1549999713897705,2.749000072479248,2241189.702624615,2244106.0,2244085.0,2105569.0,44,0.044,0,1,0,3,138516.0,2,2,1,success,,3,1000128.0,995561.0140888268,0.0045664014117924,1800.0,1.2540908776483852,1.114957265504307,False,False
inst_3_first_instance_set_small_1000_200_15,3,relaxed,1000,200,15,182.4570000171661,1.7250001430511477,0.0119998455047607,0.9149999618530272,185.1230001449585,1199709.872536998,1199595.0,1199595.0,1100753.0,39,0.039,0,0,0,3,98842.0,2,2,1,success,,3,1000128.0,995561.0140888268,0.0045664014117924,1800.0,0.20494372823338447,0.10566101366217985,False,False
inst_3_first_instance_set_small_1000_200_20,3,multi_p_median,1000,200,20,34.990999937057495,1.49399995803833,0.0039999485015869,0.4020001888275146,36.91100001335144,922839.3722742208,920676.0,921095.0,894295.0,52,0.052,0,1,0,2,26800.0,1,1,0,success,,3,869755.0,857004.434859308,0.0146599503776259,1800.0,0.0747844031299717,0.04351268631044359,False,False
inst_3_first_instance_set_small_1000_200_20,3,multi_p_median_benders,1000,200,20,29.83399987220764,1.376000165939331,0.0099999904632568,0.4119999408721924,31.651999950408936,922839.3722742208,920676.0,921095.0,894295.0,52,0.052,0,1,0,2,26800.0,1,1,0,success,,3,869755.0,857004.434859308,0.0146599503776259,1800.0,0.0747844031299717,0.04351268631044359,False,False
