instance,threads,milliseconds,value
inst_10_1250_155_62.jld2,1,376656,1073712
inst_10_1250_155_62.jld2,2,295565,1106762
inst_10_1250_155_62.jld2,3,184477,1093543
inst_10_1250_155_62.jld2,4,170944,1099965
inst_10_1250_155_62.jld2,5,134280,1093019
inst_10_1250_155_62.jld2,6,125144,1084522
inst_10_1250_155_62.jld2,7,108903,1099247
inst_10_1250_155_62.jld2,8,107058,1085856
inst_10_1250_155_62.jld2,9,95256,1086886
inst_10_1250_155_62.jld2,10,91544,1079425
inst_10_1250_155_62.jld2,11,89705,1054696
inst_10_1250_155_62.jld2,12,88496,1093636
inst_10_1250_155_62.jld2,13,79074,1091402
inst_10_1250_155_62.jld2,14,80863,1091206
inst_10_1250_155_62.jld2,15,80242,1093231
inst_10_1250_155_62.jld2,16,85430,1098148
inst_11_1250_155_62.jld2,1,347271,1015284
inst_11_1250_155_62.jld2,2,265748,1028154
inst_11_1250_155_62.jld2,3,180759,1027256
inst_11_1250_155_62.jld2,4,156926,1017039
inst_11_1250_155_62.jld2,5,121670,1028868
inst_11_1250_155_62.jld2,6,121078,1031378
inst_11_1250_155_62.jld2,7,104042,1016355
inst_11_1250_155_62.jld2,8,101306,1019177
inst_11_1250_155_62.jld2,9,92598,1015127
inst_11_1250_155_62.jld2,10,83990,1034551
inst_11_1250_155_62.jld2,11,82878,1025076
inst_11_1250_155_62.jld2,12,84367,1026033
inst_11_1250_155_62.jld2,13,75515,1028191
inst_11_1250_155_62.jld2,14,75336,1035200
inst_11_1250_155_62.jld2,15,76609,1029908
inst_11_1250_155_62.jld2,16,81650,1026203
inst_12_1250_155_62.jld2,1,364713,1022349
inst_12_1250_155_62.jld2,2,305536,1009446
inst_12_1250_155_62.jld2,3,185626,1002732
inst_12_1250_155_62.jld2,4,171671,1018691
inst_12_1250_155_62.jld2,5,129311,1020637
inst_12_1250_155_62.jld2,6,127887,1022169
inst_12_1250_155_62.jld2,7,104631,1016876
inst_12_1250_155_62.jld2,8,103440,1019904
inst_12_1250_155_62.jld2,9,94368,1023599
inst_12_1250_155_62.jld2,10,88448,1021335
inst_12_1250_155_62.jld2,11,86327,1023774
inst_12_1250_155_62.jld2,12,83408,1010758
inst_12_1250_155_62.jld2,13,81016,1019852
inst_12_1250_155_62.jld2,14,78628,1023959
inst_12_1250_155_62.jld2,15,84380,1020196
inst_12_1250_155_62.jld2,16,82401,1017665
inst_13_1250_155_62.jld2,1,398047,1097759
inst_13_1250_155_62.jld2,2,332176,1090364
inst_13_1250_155_62.jld2,3,206077,1111525
inst_13_1250_155_62.jld2,4,179630,1098915
inst_13_1250_155_62.jld2,5,138126,1103575
inst_13_1250_155_62.jld2,6,133297,1097813
inst_13_1250_155_62.jld2,7,119015,1103171
inst_13_1250_155_62.jld2,8,111355,1109162
inst_13_1250_155_62.jld2,9,102416,1095363
inst_13_1250_155_62.jld2,10,94624,1107657
inst_13_1250_155_62.jld2,11,96896,1090514
inst_13_1250_155_62.jld2,12,98064,1104605
inst_13_1250_155_62.jld2,13,82696,1093642
inst_13_1250_155_62.jld2,14,85001,1105346
inst_13_1250_155_62.jld2,15,84313,1081236
inst_13_1250_155_62.jld2,16,92424,1090977
inst_14_1250_155_62.jld2,1,378240,1049139
inst_14_1250_155_62.jld2,2,289311,1048303
inst_14_1250_155_62.jld2,3,198886,1057567
inst_14_1250_155_62.jld2,4,177706,1059094
inst_14_1250_155_62.jld2,5,132312,1056113
inst_14_1250_155_62.jld2,6,126409,1067175
inst_14_1250_155_62.jld2,7,112640,1064147
inst_14_1250_155_62.jld2,8,105454,1057950
inst_14_1250_155_62.jld2,9,96033,1052142
inst_14_1250_155_62.jld2,10,91046,1058994
inst_14_1250_155_62.jld2,11,89125,1056497
inst_14_1250_155_62.jld2,12,87432,1065512
inst_14_1250_155_62.jld2,13,79954,1046053
inst_14_1250_155_62.jld2,14,81278,1063825
inst_14_1250_155_62.jld2,15,84055,1053517
inst_14_1250_155_62.jld2,16,81525,1060081
inst_15_1250_155_62.jld2,1,372880,1034979
inst_15_1250_155_62.jld2,2,292270,1022070
inst_15_1250_155_62.jld2,3,191423,1007953
inst_15_1250_155_62.jld2,4,175665,1035076
inst_15_1250_155_62.jld2,5,132543,1029006
inst_15_1250_155_62.jld2,6,126312,1033282
inst_15_1250_155_62.jld2,7,107807,1033524
inst_15_1250_155_62.jld2,8,107494,1036585
inst_15_1250_155_62.jld2,9,95119,1015414
inst_15_1250_155_62.jld2,10,90273,1020118
inst_15_1250_155_62.jld2,11,85918,1038435
inst_15_1250_155_62.jld2,12,89319,1029078
inst_15_1250_155_62.jld2,13,78961,1039791
inst_15_1250_155_62.jld2,14,79154,1037362
inst_15_1250_155_62.jld2,15,81120,1029113
inst_15_1250_155_62.jld2,16,86611,1031107
inst_16_1250_155_62.jld2,1,409134,1067215
inst_16_1250_155_62.jld2,2,323663,1060585
inst_16_1250_155_62.jld2,3,217251,1062901
inst_16_1250_155_62.jld2,4,194121,1073088
inst_16_1250_155_62.jld2,5,145842,1055811
inst_16_1250_155_62.jld2,6,137273,1052345
inst_16_1250_155_62.jld2,7,114786,1064285
inst_16_1250_155_62.jld2,8,115735,1061519
inst_16_1250_155_62.jld2,9,103696,1058920
inst_16_1250_155_62.jld2,10,99471,1058149
inst_16_1250_155_62.jld2,11,96414,1061672
inst_16_1250_155_62.jld2,12,98238,1069666
inst_16_1250_155_62.jld2,13,86329,1061631
inst_16_1250_155_62.jld2,14,87529,1067503
inst_16_1250_155_62.jld2,15,91605,1071714
inst_16_1250_155_62.jld2,16,94098,1068893
inst_17_1250_155_62.jld2,1,346345,1058078
inst_17_1250_155_62.jld2,2,274163,1060238
inst_17_1250_155_62.jld2,3,180951,1070965
inst_17_1250_155_62.jld2,4,164621,1049959
inst_17_1250_155_62.jld2,5,125495,1064978
inst_17_1250_155_62.jld2,6,121295,1071174
inst_17_1250_155_62.jld2,7,99839,1076590
inst_17_1250_155_62.jld2,8,101770,1068238
inst_17_1250_155_62.jld2,9,91287,1069916
inst_17_1250_155_62.jld2,10,81752,1068258
inst_17_1250_155_62.jld2,11,85417,1077206
inst_17_1250_155_62.jld2,12,80901,1069521
inst_17_1250_155_62.jld2,13,74848,1064432
inst_17_1250_155_62.jld2,14,76872,1066438
inst_17_1250_155_62.jld2,15,78980,1069361
inst_17_1250_155_62.jld2,16,82313,1074424
inst_18_1250_155_62.jld2,1,357966,1049170
inst_18_1250_155_62.jld2,2,284658,1033910
inst_18_1250_155_62.jld2,3,182067,1056114
inst_18_1250_155_62.jld2,4,161879,1041218
inst_18_1250_155_62.jld2,5,130794,1054915
inst_18_1250_155_62.jld2,6,121256,1052812
inst_18_1250_155_62.jld2,7,105489,1047469
inst_18_1250_155_62.jld2,8,104588,1038361
inst_18_1250_155_62.jld2,9,92945,1046372
inst_18_1250_155_62.jld2,10,85404,1042448
inst_18_1250_155_62.jld2,11,87327,1044125
inst_18_1250_155_62.jld2,12,84390,1055704
inst_18_1250_155_62.jld2,13,78318,1038785
inst_18_1250_155_62.jld2,14,76200,1055490
inst_18_1250_155_62.jld2,15,78184,1051215
inst_18_1250_155_62.jld2,16,82236,1034935
inst_19_1250_155_62.jld2,1,348205,1052547
inst_19_1250_155_62.jld2,2,279416,1052647
inst_19_1250_155_62.jld2,3,181304,1040350
inst_19_1250_155_62.jld2,4,164552,1052172
inst_19_1250_155_62.jld2,5,126578,1061930
inst_19_1250_155_62.jld2,6,116543,1046524
inst_19_1250_155_62.jld2,7,104264,1049645
inst_19_1250_155_62.jld2,8,102520,1061211
inst_19_1250_155_62.jld2,9,91233,1037362
inst_19_1250_155_62.jld2,10,82751,1055829
inst_19_1250_155_62.jld2,11,84368,1043926
inst_19_1250_155_62.jld2,12,83575,1025399
inst_19_1250_155_62.jld2,13,76434,1056568
inst_19_1250_155_62.jld2,14,78798,1047299
inst_19_1250_155_62.jld2,15,76180,1033646
inst_19_1250_155_62.jld2,16,84374,1040846
inst_1_1250_155_62.jld2,1,347213,1021193
inst_1_1250_155_62.jld2,2,279048,1000354
inst_1_1250_155_62.jld2,3,176706,1014478
inst_1_1250_155_62.jld2,4,157752,1020878
inst_1_1250_155_62.jld2,5,119370,1011064
inst_1_1250_155_62.jld2,6,111214,1019548
inst_1_1250_155_62.jld2,7,102963,1015819
inst_1_1250_155_62.jld2,8,94730,1017163
inst_1_1250_155_62.jld2,9,85969,1029302
inst_1_1250_155_62.jld2,10,81353,1008175
inst_1_1250_155_62.jld2,11,79827,1016708
