Alloc,B,BeatGurobi,BestBound,Diff%,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,625,false,467610.276,0.0603191421560817,0.06868352665625695,10,pdisp,32,78,1800,13829,502096,471810,0.5,0.5,100
queue,625,false,467610.276,0.06287800392081308,0.07121961121582941,10,pdisp,32,78,1800,4096,503467,471810,0.7,0.5,25
queue,625,false,467610.276,0.06378731476557477,0.0721208280087944,10,pdisp,32,78,1800,7834,503956,471810,0.7,0.5,50
queue,625,false,467610.276,0.06057734044290112,0.06893942664176457,10,pdisp,32,78,1800,10031,502234,471810,0.7,0.5,75
queue,625,false,467610.276,0.06402318665775279,0.07235460033367519,10,pdisp,32,78,1800,13313,504083,471810,0.7,0.5,100
queue,625,false,467610.276,0.04925511785319182,0.0577179865915168,10,pdisp,32,78,1800,4069,496253,471810,0.1,0.7,25
queue,625,false,467610.276,0.04891780913043741,0.05738368035607373,10,pdisp,32,78,1800,8009,496077,471810,0.1,0.7,50
queue,625,false,467610.276,0.0615396549769368,0.06989317532207918,10,pdisp,32,78,1800,11204,502749,471810,0.1,0.7,75
queue,625,false,467610.276,0.04004931901508462,0.04859413136274296,10,pdisp,32,78,1800,13561,491494,471810,0.1,0.7,100
queue,625,false,467610.276,0.06939176435084647,0.07767539068740863,10,pdisp,32,78,1800,4059,506991,471810,0.3,0.7,25
queue,625,false,467610.276,0.055144128520104294,0.06355457738722246,10,pdisp,32,78,1800,7544,499346,471810,0.3,0.7,50
queue,625,false,467610.276,0.049025160592018675,0.05749007624971527,10,pdisp,32,78,1800,11040,496133,471810,0.3,0.7,75
queue,625,false,467610.276,0.05578892386634033,0.06419363321439218,10,pdisp,32,78,1800,14410,499687,471810,0.3,0.7,100
queue,625,false,467610.276,0.0686845398593779,0.07697446141577476,10,pdisp,32,78,1800,3378,506606,471810,0.5,0.7,25
queue,625,false,467610.276,0.06765945590249166,0.07595850204229232,10,pdisp,32,78,1800,6994,506049,471810,0.5,0.7,50
queue,625,false,467610.276,0.044789475495664394,0.05329209427189515,10,pdisp,32,78,1800,10677,493933,471810,0.5,0.7,75
queue,625,false,467610.276,0.04423606342183787,0.05274360828689324,10,pdisp,32,78,1800,13734,493647,471810,0.5,0.7,100
queue,625,false,467610.276,0.06765577110426502,0.075954850043573,10,pdisp,32,78,1800,4170,506047,471810,0.7,0.7,25
queue,625,false,467610.276,0.06339331088807013,0.07173033127937997,10,pdisp,32,78,1800,7447,503744,471810,0.7,0.7,50
queue,625,false,467610.276,0.05043763874325529,0.05888998150425359,10,pdisp,32,78,1800,11113,496871,471810,0.7,0.7,75
queue,625,false,467610.276,0.06141457223453396,0.06976920597912793,10,pdisp,32,78,1800,14830,502682,471810,0.7,0.7,100
queue,625,false,466413.292,0.10138593794084284,0.10480559826033213,11,pdisp,32,78,1800,3999,521019,468195,0.1,0.1,25
queue,625,false,466413.292,0.08876199151033182,0.09222969204030351,11,pdisp,32,78,1800,7246,513801,468195,0.1,0.1,50
queue,625,false,466413.292,0.08826335877862596,0.09173295684686085,11,pdisp,32,78,1800,9498,513520,468195,0.1,0.1,75
queue,625,false,466413.292,0.06913190951277025,0.07267431198132673,11,pdisp,32,78,1800,13907,502966,468195,0.1,0.1,100
queue,625,false,466413.292,0.0806925706521419,0.08419097922405851,11,pdisp,32,78,1800,4139,509291,468195,0.3,0.1,25
queue,625,false,466413.292,0.0861385133684412,0.0896161974992485,11,pdisp,32,78,1800,8623,512326,468195,0.3,0.1,50
queue,625,false,466413.292,0.07489443764955078,0.07841491091663881,11,pdisp,32,78,1800,11470,506099,468195,0.3,0.1,75
queue,625,false,466413.292,0.08556735663253946,0.0890472142904575,11,pdisp,32,78,1800,15379,512006,468195,0.3,0.1,100
queue,625,false,466413.292,0.09056740109669185,0.09402823117161108,11,pdisp,32,78,1800,3974,514821,468195,0.5,0.1,25
queue,625,false,466413.292,0.09081287867018797,0.09427277458443371,11,pdisp,32,78,1800,7961,514960,468195,0.5,0.1,50
