Instance_ID,p40_Objective,p40_Bound,p40_Gap(%),p40_Runtime(s),p60_Objective,p60_Bound,p60_Gap(%),p60_Runtime(s),p80_Objective,p80_Bound,p80_Gap(%),p80_Runtime(s)
1,1880850.00,1794874.04,4.57,7200.00,1521739.00,1460409.83,4.03,7200.00,1513330.00,1263646.22,16.50,7200.00
2,1853521.00,1785776.65,3.65,7200.00,1543856.00,1452255.47,5.93,7200.00,2461567.00,1263001.56,48.69,7200.00
3,1826270.00,1790013.75,1.99,7200.00,1621872.00,1468698.87,9.44,7202.00,1310638.00,1274080.29,2.79,7200.00
4,1874595.00,1782466.59,4.91,7200.00,1514393.00,1452269.24,4.10,7200.00,1339185.00,1260415.20,5.88,7200.00
5,N/A,N/A,N/A,N/A,1572902.00,1472799.13,6.36,7200.00,1372549.00,1279482.85,6.78,7200.00
6,1851892.00,1800686.41,2.77,7200.00,1515493.00,1458380.97,3.77,7200.00,1313308.00,1272683.30,3.09,7202.00
7,N/A,N/A,N/A,N/A,1553132.00,1458808.90,6.07,7200.00,1894694.00,1264837.36,33.24,7200.00
8,1834423.00,1777134.32,3.12,7200.00,2452617.00,1465004.49,40.27,7219.00,2505154.00,1274026.47,49.14,7201.00
9,2252618.00,1791074.76,20.49,7200.00,1557537.00,1459407.94,6.30,7200.00,1648997.00,1260444.98,23.56,7200.00
10,2105791.00,1781725.98,15.39,7200.00,1549406.00,1455244.79,6.08,7201.00,2289261.00,1267130.02,44.65,7200.00
11,1864806.00,1787509.58,4.15,7200.00,1508808.00,1457923.39,3.37,7200.00,2142839.00,1262616.98,41.08,7200.00
12,1944760.00,1800984.19,7.39,7200.00,3382406.00,1469189.60,56.56,7200.00,1424421.00,1270171.09,10.83,7200.00
13,1788654.00,1784061.64,0.26,7200.00,1561981.00,1464243.78,6.26,7200.00,1339582.00,1269614.17,5.22,7200.00
14,1885841.00,1779989.28,5.61,7200.00,1530664.00,1459186.68,4.67,7200.00,1359043.00,1271493.38,6.44,7200.00
15,1854669.00,1792583.31,3.35,7200.00,1523244.00,1467201.81,3.68,7200.00,1965774.00,1270469.18,35.37,7200.00
16,2005574.00,1780125.08,11.24,7200.00,1539968.00,1448977.82,5.91,7200.00,1342750.00,1267898.59,5.57,7200.00
17,1857726.00,1790229.34,3.63,7200.00,1532488.00,1461886.65,4.61,7200.00,1372242.00,1270158.61,7.44,7200.00
18,1908363.00,1790462.99,6.18,7200.00,1584822.00,1466303.10,7.48,7200.00,1330948.00,1269639.24,4.61,7200.00
19,2189834.00,1803973.32,17.62,7201.00,3073841.00,1472883.50,52.08,7200.00,1408051.00,1286836.07,8.61,7200.00
20,1842854.00,1784447.02,3.17,7202.00,1519260.00,1452276.34,4.41,7200.00,2088523.00,1257265.03,39.80,7200.00
21,1984551.00,1790980.81,9.75,7200.00,1740575.00,1451700.81,16.60,7200.00,1309989.00,1263003.27,3.59,7200.00
22,1848919.00,1781195.78,3.66,7200.00,1518888.00,1458507.66,3.98,7200.00,1371037.00,1267547.54,7.55,7200.00
23,1953242.00,1799742.11,7.86,7200.00,2635462.00,1460408.47,44.59,7200.00,1338627.00,1271703.03,5.00,7200.00
24,1899230.00,1794977.31,5.49,7203.00,3601160.00,1462096.34,59.40,7200.00,1334505.00,1274417.19,4.50,7200.00
25,1853937.00,1799191.25,2.95,7200.00,1564295.00,1467442.56,6.19,7200.00,N/A,N/A,N/A,N/A

STATISTICS BY P VALUE

p = 40
Metric,Average,Min,Max
Objective,1920126.96,1788654.00,2252618.00
Bound,1789748.07,1777134.32,1803973.32
Gap (%),6.49,0.26,20.49
Runtime (s),7200.26,7200.00,7203.00

p = 60
Metric,Average,Min,Max
Objective,1848832.36,1508808.00,3601160.00
Bound,1460940.33,1448977.82,1472883.50
Gap (%),14.89,3.37,59.40
Runtime (s),7200.88,7200.00,7219.00

p = 80
Metric,Average,Min,Max
Objective,1615708.92,1309989.00,2505154.00
Bound,1268857.57,1257265.03,1286836.07
Gap (%),17.50,2.79,49.14
Runtime (s),7200.12,7200.00,7202.00

TOTAL STATISTICS (ALL P VALUES)
Metric,Average,Min,Max
Objective,1793899.21,1309989.00,3601160.00
Bound,1501948.55,1257265.03,1803973.32
Gap (%),13.07,0.26,59.40
Runtime (s),7200.43,7200.00,7219.00

Instance Set Info
Set,BUs,Centers
large,3000,600
